type,mode,amount,currentBalance,transactionTimestamp,valueDate,txnId,narration,reference
DEBIT,CARD,100.0,2180.80,2023-06-27T09:40:19+05:30,2023-06-27,S39488701,PRCR/MS NEHA FILLING STATIO/FARRUKHAB,NA
DEBIT,CARD,170.0,2010.80,2023-06-28T09:51:57+05:30,2023-06-28,S76862822,PRCR/MS NEHA FILLING STATIO/FARRUKHAB,NA
DEBIT,CARD,500.0,1510.80,2023-07-26T10:04:00+05:30,2023-07-26,S31451661,PRCR/MS NEHA FILLING STATIO/FARRUKHAB,NA
CREDIT,OTHERS,15.0,1525.80,2023-08-06T11:10:38+05:30,2023-07-31,S66463256,51888100006461IntPd01-05-2023 to 31-07-2023,NA
DEBIT,ATM,1000.0,525.80,2023-08-07T17:13:13+05:30,2023-08-07,S18475743,ATM/CASH/321917012791/XXXXXXXXXXXX8896,NA
DEBIT,UPI,1.0,524.80,2023-08-22T08:05:06+05:30,2023-08-22,S82724622,UPI/323444770475/080506/UPI/8795417446ybl/Paym,NA
CREDIT,UPI,3000.0,3524.80,2023-08-22T11:49:13+05:30,2023-08-22,S90667553,UPI/323441197152/114914/UPI/8795417446ybl/Paym,NA
CREDIT,UPI,300.0,3824.80,2023-08-22T12:20:04+05:30,2023-08-22,S92051775,UPI/323457106254/122004/UPI/9264998949barodamp,NA
DEBIT,UPI,1200.0,2624.80,2023-08-23T08:17:48+05:30,2023-08-23,S20566812,UPI/323568910825/081748/UPI/8795417446ybl/Paym,NA
CREDIT,UPI,400.0,3024.80,2023-08-23T10:51:21+05:30,2023-08-23,S25232032,UPI/323567840697/105122/UPI/kimoroybl/Payment,NA
CREDIT,UPI,500.0,3524.80,2023-08-24T11:32:18+05:30,2023-08-24,S65206796,UPI/323602109737/113218/UPI/9701028466ibl/Paym,NA
CREDIT,UPI,300.0,3824.80,2023-08-24T12:31:36+05:30,2023-08-24,S67741861,UPI/323618540670/123136/UPI/9580229953axl/Paym,NA
