Video title,Video publish time,Comments added,Average percentage viewed (%),Likes,Views,Impressions
How To Send WhatsApp Messages From Excel Using VBA (Free & Easy) \uc0\u55357 \u56562,19-Dec-20,885,26.36,3057,265002,2152704
How to Create an Excel Data Entry Form in 10 Minutes Using Python (No VBA) | Easy & Simple,22-May-21,207,28.48,3112,99259,1069755
Turn An Excel Sheet Into An Interactive Dashboard Using Python (Streamlit),11-Sep-21,192,13.14,10175,442044,11550064
Send BULK SMS From Your OWN Number Using EXCEL [Free Template],10-Jul-21,158,27.57,537,50270,341500
Deploy Your Streamlit Web App on Heroku For Free (fast & easy),20-Mar-21,114,32.44,966,30941,308074
Build a Website in only 12 minutes using Python & Streamlit,1-Jan-22,105,23.56,1897,59870,656636
Turn Your Excel File Into A Web App With Python (fast & easy) | Streamlit Tutorial,14-Mar-21,77,18.49,2398,88223,931710
How to Add a User Authentication Service (Login Form) in Streamlit,26-May-22,66,36.84,392,10576,130571
Automating Word Documents from Excel Using Python | \'91docxtpl\'92 Tutorial,1-May-21,66,22.52,745,34943,280059
Turn Your Excel Data Into An Interactive Dashboard Using Python | Pyecharts Tutorial,27-Mar-22,64,18.92,896,24612,541894
Create a Data Entry Form for MS Word in 10 Minutes using Python | PySimpleGUI & docxtpl Tutorial,5-Feb-22,62,27.77,421,9668,135605
How To Execute A Python Script From Excel Using VBA | Step-by-Step Tutorial [EASY],27-Jul-20,59,39.86,883,42471,423175
\uc0\u55357 \u56520  How To Get Stock Data In Excel By Using VBA | Step-by-Step Tutorial,5-Jul-20,58,19.94,304,23304,132069
How To Send Bulk SMS From Excel With TWILIO + VBA [Free Template],29-May-21,58,29.04,164,9781,109600
Split Excel Data into Multiple Files by Column Values using Python (fast & easy),15-May-21,54,28.7,237,10331,103126
Generate MS Word documents in bulk based on an Excel list using Python,19-Feb-22,53,33.11,238,6382,87552
Download All Messages & Attachments From Outlook Using Python,19-Mar-22,53,38.24,364,12532,117935
How To Send SMS Messages From Excel With VBA | Step-by-Step Tutorial \uc0\u55357 \u56492,21-Nov-20,53,27.42,362,35044,259872
FREE Excel Add-in to Boost Your Productivity,6-Aug-21,49,23.86,294,7972,83453
Send Bulk Emails From Your Gmail Account Using Excel VBA (with Attachments) | FREE TEMPLATE \uc0\u55357 \u56846,24-Jul-21,46,27.48,135,6397,66639
The EASIEST way to insert a NAVIGATION into your Streamlit app,12-Mar-22,46,41.37,538,15711,148402
How to Export WhatsApp Chat History to Excel using Python \uc0\u55357 \u56562  (fast & easy) | Android and iOS,16-Jan-21,46,27.52,271,20518,149428
Build A Streamlit Web App From Scratch (incl. NoSQL Database + interactive Sankey chart) \uc0\u55357 \u56960,26-Jun-22,42,13.86,468,12591,211262
How To Automate Excel Using Python | Combine Files & Create Charts \uc0\u55358 \u56595,30-Nov-20,41,29.69,1377,56273,816995
Solve Real-World Data Science Tasks in Python | Data Analysis with Pandas & Plotly (Full Tutorial),31-Jan-21,40,14.59,414,12911,133624
How to Add a User Authentication Service (Login Form) in Streamlit + Database,14-Jun-22,35,23.53,203,6365,89916
Create and Distribute Excel Files using Python and Outlook | Automate Excel with Python,6-Nov-21,34,33.19,270,6170,89369
How To Easily Insert Python Charts Into Excel,24-Oct-21,33,23.72,438,15027,154981
4 Pandas Functions That I Wish I Knew Earlier,2-Oct-21,33,53.11,360,4129,50386
"Automate Excel Reporting Using Python (Real-Life-Example) | Pandas, Plotly, Xlwings Tutorial",9-Oct-21,32,21.77,414,14713,166003
